-173.5,-64.5,NaN
-173.5,-63.5,NaN
-173.5,-62.5,NaN
-172.5,-89.5,0.143718
-172.5,-88.5,0.179332
-172.5,-87.5,0.202981
-172.5,-86.5,0.219346
-172.5,-85.5,0.234327
-172.5,-84.5,0.247650
-172.5,-83.5,0.253212
-172.5,-82.5,0.245405
-172.5,-81.5,0.225024
-172.5,-80.5,0.200199
-172.5,-79.5,0.183063
-172.5,-78.5,0.185870
-172.5,-77.5,0.218568
-172.5,-76.5,0.286466
-172.5,-75.5,0.386118
-172.5,-74.5,0.500975
-172.5,-73.5,0.601846
-172.5,-72.5,0.655900
-172.5,-71.5,0.641653
-172.5,-70.5,0.561083
-172.5,-69.5,0.440066
-172.5,-68.5,0.315634
-172.5,-67.5,NaN
-172.5,-66.5,NaN
-172.5,-65.5,NaN
-172.5,-64.5,NaN
-172.5,-63.5,NaN
-172.5,-62.5,NaN
-171.5,-89.5,0.143888
-171.5,-88.5,0.179788
-171.5,-87.5,0.203754
-171.5,-86.5,0.220578
-171.5,-85.5,0.235973
-171.5,-84.5,0.249337
-171.5,-83.5,0.254541
-171.5,-82.5,0.246475
-171.5,-81.5,0.226630
-171.5,-80.5,0.203359
-171.5,-79.5,0.188130
-171.5,-78.5,0.191876
-171.5,-77.5,0.223362
-171.5,-76.5,0.287651
-171.5,-75.5,0.382215
-171.5,-74.5,0.492126
-171.5,-73.5,0.589709
-171.5,-72.5,0.642920
-171.5,-71.5,0.630184
-171.5,-70.5,0.552802
-171.5,-69.5,0.435789
-171.5,-68.5,0.315430
-171.5,-67.5,NaN
-171.5,-66.5,NaN
-171.5,-65.5,NaN
-171.5,-64.5,NaN
-171.5,-63.5,NaN
-171.5,-62.5,NaN
-170.5,-89.5,0.144051
-170.5,-88.5,0.180218
-170.5,-87.5,0.204468
-170.5,-86.5,0.221694
-170.5,-85.5,0.237425
-170.5,-84.5,0.250754
-170.5,-83.5,0.255565
-170.5,-82.5,0.247277
-170.5,-81.5,0.228074
-170.5,-80.5,0.206514
-170.5,-79.5,0.193361
-170.5,-78.5,0.198195
-170.5,-77.5,0.228586
-170.5,-76.5,0.289351
-170.5,-75.5,0.378882
-170.5,-74.5,0.483874
-170.5,-73.5,0.578149
-170.5,-72.5,0.630421
-170.5,-71.5,0.619019
-170.5,-70.5,0.544595
-170.5,-69.5,0.431368
-170.5,-68.5,0.314948
-170.5,-67.5,NaN
-170.5,-66.5,NaN
-170.5,-65.5,NaN
