GRACE/GRACE-FO record index,START DAY,END DAY,Month Sr No,GRACE/GRACE-FO record index,MONTH,YEAR,START DAY,YEAR,END DAY,COMMON MISSING DAYS,CSR unused days,GFZ unused days,JPL unused days,,
132,1,31,142,132,JAN,2014,1,2014,31,18-31,,,,,
NA,32,59,143,NA,FEB,2014,32,2014,59,32-59,,,,,
133,60,90,144,133,MAR,2014,60,2014,90,,,,,,
134,91,120,145,134,APR,2014,91,2014,120,,,,,,
135,121,151,146,135,MAY,2014,121,2014,151,,,,,,
136,152,181,147,136,JUN,2014,152,2014,181,176-181,,,,,
NA,182,212,148,NA,JUL,2014,182,2014,212,182-212,,,,,
137,213,243,149,137,AUG,2014,213,2014,243,,,,,,
138,244,273,150,138,SEP,2014,244,2014,273,,,,,,
139,274,304,151,139,OCT,2014,274,2014,304,,,,,,
140,305,336,152,140,NOV,2014,305,2014,336,,320,,,,
NA,335,365,153,NA,DEC,2014,335,2014,365,335-365,,,,,
141,1,31,154,141,JAN,2015,1,2015,31,1 to 12,,,,,
142,32,59,155,142,FEB,2015,32,2015,59,,,,,,
143,60,90,156,143,MAR,2015,60,2015,90,,,,,,
144,91,120,157,144,APR,2015,91,2015,120,,,,,,
145,102,151,158,145,MAY,2015,102,2015,151,132-151,,,,,
NA,152,179,159,NA,JUN,2015,152,2015,179,152-179,,,,,
146,180,212,160,146,JUL,2015,180,2015,212,188-193,,,,,
147,213,243,161,147,AUG,2015,213,2015,243,,,,,,
148,244,273,162,148,SEP,2015,244,2015,273,271-273,,,,,
NA,274,304,163,NA,OCT,2015,274,2015,304,274-304,,,,,
NA,305,334,164,NA,NOV,2015,305,2015,334,305-334,,,,,
149,335,3,165,149,DEC,2015,335,2016,3,335-344,,,365,,
150,1,28,166,150,JAN,2016,1,2016,28,1 to 3,,,20,,
151,29,60,167,151,FEB,2016,29,2016,60,,,,,,
152,61,91,168,152,MAR,2016,61,2016,91,,,,,,
NA,92,121,169,NA,APR,2016,92,2016,121,92-121,,,,,
153,122,152,170,153,MAY,2016,122,2016,152,122-128,,,146,,
154,153,182,171,154,JUN,2016,153,2016,182,,,,,,
155,183,213,172,155,JUL,2016,183,2016,213,212-213,,,,,
156,214,247,173,156,AUG,2016,214,2016,247,214-220,,,,,
NA,248,274,174,NA,SEP,2016,248,2016,274,248-274,,,,,
NA,275,305,175,NA,OCT,2016,275,2016,305,275-305,,,,,
157,306,345,176,157,NOV,2016,306,2016,345,306-318,"336,337,338",,,,
158,346,6,177,158,DEC,2016,346,2017,6,,1,,,,
159,7,34,178,159,JAN,2017,7,2017,34,,,,,,
NA,35,59,179,NA,FEB,2017,35,2017,59,35-59,,,,,
160,60,104,180,160,MAR,2017,60,2017,104,60-75,,,,,
161,100,128,181,161,APR,2017,100,2017,128,,121-122,,,,
162,122,142,182,162,MAY,2017,122,2017,142,,,,,,
163,143,181,183,163,JUN,2017,143,2017,181,180-181,155,,,,
NA,182,212,184,NA,JUL,2017,182,2017,212,No Coverage,,,,,
NA,213,243,185,NA,AUG,2017,213,2017,243,No Coverage,,,,,
NA,244,273,186,NA,SEP,2017,244,2017,273,No Coverage,,,,,
NA,274,304,187,NA,OCT,2017,274,2017,304,No Coverage,,,,,
NA,305,334,188,NA,NOV,2017,305,2017,334,No Coverage,,,,,
NA,335,365,189,NA,DEC,2017,335,2017,365,No Coverage,,,,,
NA,1,31,190,NA,JAN,2017,1,2017,31,No Coverage,,,,,
NA,32,59,191,NA,FEB,2017,32,2017,59,No Coverage,,,,,
NA,60,90,192,NA,MAR,2017,60,2017,90,No Coverage,,,,,
NA,91,120,193,NA,APR,2017,91,2017,120,No Coverage,,,,,
NA,121,151,194,NA,MAY,2017,121,2017,151,No Coverage,,,,,
164,152,181,195,164,JUN,2018,152,2018,181,GRACE-FO begins coverage,,172,172,,
165,182,212,196,165,JUL,2018,182,2018,212,200-212,,,,,
NA,213,243,197,NA,AUG,2018,213,2018,243,213-243,,,,,
NA,244,273,198,NA,SEP,2018,244,2018,273,244-273,,,,,
166,274,313,199,166,OCT,2018,274,2018,313,274-294,,,,,
167,305,334,200,167,NOV,2018,305,2018,334,,,,,,
168,335,365,201,168,DEC,2018,335,2018,365,,,,,,
169,1,31,202,169,JAN,2019,1,2019,31,,,,,,
170,26,63,203,170,FEB,2019,26,2019,63,39-51,,38,,,
171,60,90,204,171,MAR,2019,60,2019,90,,,,,,
172,91,120,205,172,APR,2019,91,2019,120,,,,,,
173,121,151,206,173,MAY,2019,121,2019,151,,,,,,
174,152,181,207,174,JUN,2019,152,2019,181,,,,,,
175,182,212,208,175,JUL,2019,182,2019,212,,,,,,
176,213,243,209,176,AUG,2019,213,2019,243,,,,,,
177,244,273,210,177,SEP,2019,244,2019,273,,271,271,,,
178,274,304,211,178,OCT,2019,274,2019,304,,,,,,
179,305,334,212,179,NOV,2019,305,2019,334,,,,,,
180,335,365,213,180,DEC,2019,335,2019,365,,,,,,
181,1,31,214,181,JAN,2020,1,2020,31,19-23,,,,,
182,32,60,215,182,FEB,2020,32,2020,60,39-43,,,,,
183,61,91,216,183,MAR,2020,61,2020,91,,,,,,
184,92,121,217,184,APR,2020,92,2020,121,,,,,,
185,122,152,218,185,MAY,2020,122,2020,152,,,,,,
186,153,182,219,186,JUN,2020,153,2020,182,,,,,,
187,183,213,220,187,JUL,2020,183,2020,213,,,,,,
188,214,244,221,188,AUG,2020,214,2020,244,,,,,,
189,245,274,222,189,SEP,2020,245,2020,274,,,,,,
190,275,305,223,190,OCT,2020,275,2020,305,,,,,,
191,306,335,224,191,NOV,2020,306,2020,335,,,,,,
192,336,366,225,192,DEC,2020,336,2020,366,,,,,,
193,1,31,226,193,JAN,2021,1,2021,31,,,,,,
194,32,59,227,194,FEB,2021,32,2021,59,,,,,,
195,60,90,228,195,MAR,2021,60,2021,90,,,,,,
196,91,120,229,196,APR,2021,91,2021,120,,,,,,
197,121,151,230,197,MAY,2021,121,2021,151,,,,,,
198,152,181,231,198,JUN,2021,152,2021,181,,,,,,
199,182,212,232,199,JUL,2021,182,2021,212,,,,,,
200,213,243,233,200,AUG,2021,213,2021,243,,,,,,
201,244,273,234,201,SEP,2021,244,2021,273,,,,,,
202,274,304,235,202,OCT,2021,274,2021,304,,,,,,
203,305,334,236,203,NOV,2021,305,2021,334,,,,,,
204,335,365,237,204,DEC,2021,335,2021,365,,,,,,
